day,year,week,variant,ireg,region,positive,genomes,cases
265,2020,46,y453f,3,syddanmark,20,166,1087
265,2020,46,y453f,4,copenhagen,8,484,3325
265,2020,46,y453f,5,sjaelland,0,154,899
265,2020,46,y453f,6,whole_denmark,213,1435,7508
272,2020,47,20e-eu1,0,other,4,9,
272,2020,47,20e-eu1,1,nordjylland,67,247,357
272,2020,47,20e-eu1,2,midtjylland,94,334,1719
272,2020,47,20e-eu1,3,syddanmark,58,280,1450
272,2020,47,20e-eu1,4,copenhagen,305,667,3866
272,2020,47,20e-eu1,5,sjaelland,87,154,927
272,2020,47,20e-eu1,6,whole_denmark,615,1691,8422
272,2020,47,b117,0,other,0,9,
272,2020,47,b117,1,nordjylland,0,247,357
272,2020,47,b117,2,midtjylland,0,334,1719
272,2020,47,b117,3,syddanmark,0,278,1450
272,2020,47,b117,4,copenhagen,0,672,3866
272,2020,47,b117,5,sjaelland,0,154,927
272,2020,47,b117,6,whole_denmark,0,1694,8422
272,2020,47,b1351,0,other,0,9,
272,2020,47,b1351,1,nordjylland,0,247,357
272,2020,47,b1351,2,midtjylland,0,334,1719
272,2020,47,b1351,3,syddanmark,0,278,1450
272,2020,47,b1351,4,copenhagen,0,672,3866
272,2020,47,b1351,5,sjaelland,0,154,927
272,2020,47,b1351,6,whole_denmark,0,1694,8422
272,2020,47,b1525,0,other,0,9,
272,2020,47,b1525,1,nordjylland,0,247,357
272,2020,47,b1525,2,midtjylland,0,334,1719
272,2020,47,b1525,3,syddanmark,0,278,1450
272,2020,47,b1525,4,copenhagen,0,672,3866
272,2020,47,b1525,5,sjaelland,0,154,927
272,2020,47,b1525,6,whole_denmark,0,1694,8422
272,2020,47,d614g,1,nordjylland,245,246,357
272,2020,47,d614g,2,midtjylland,328,328,1719
272,2020,47,d614g,3,syddanmark,280,280,1450
272,2020,47,d614g,4,copenhagen,640,640,3866
272,2020,47,d614g,5,sjaelland,150,150,927
272,2020,47,d614g,6,whole_denmark,1643,1644,8422
272,2020,47,e484k,0,other,0,9,
272,2020,47,e484k,1,nordjylland,0,247,357
272,2020,47,e484k,2,midtjylland,0,334,1719
272,2020,47,e484k,3,syddanmark,0,280,1450
272,2020,47,e484k,4,copenhagen,0,667,3866
272,2020,47,e484k,5,sjaelland,0,154,927
272,2020,47,e484k,6,whole_denmark,0,1691,8422
272,2020,47,n439k,0,other,1,9,
272,2020,47,n439k,1,nordjylland,28,247,357
272,2020,47,n439k,2,midtjylland,32,334,1719
272,2020,47,n439k,3,syddanmark,22,280,1450
272,2020,47,n439k,4,copenhagen,75,667,3866
272,2020,47,n439k,5,sjaelland,10,154,927
272,2020,47,n439k,6,whole_denmark,168,1691,8422
272,2020,47,n501y,0,other,0,9,
272,2020,47,n501y,1,nordjylland,0,247,357
272,2020,47,n501y,2,midtjylland,0,334,1719
272,2020,47,n501y,3,syddanmark,0,280,1450
272,2020,47,n501y,4,copenhagen,0,667,3866
272,2020,47,n501y,5,sjaelland,0,154,927
272,2020,47,n501y,6,whole_denmark,0,1691,8422
272,2020,47,p1,0,other,0,9,
272,2020,47,p1,1,nordjylland,0,247,357
272,2020,47,p1,2,midtjylland,0,334,1719
272,2020,47,p1,3,syddanmark,0,278,1450
272,2020,47,p1,4,copenhagen,0,672,3866
272,2020,47,p1,5,sjaelland,0,154,927
272,2020,47,p1,6,whole_denmark,0,1694,8422
272,2020,47,p2,0,other,0,9,
272,2020,47,p2,1,nordjylland,0,247,357
272,2020,47,p2,2,midtjylland,0,334,1719
272,2020,47,p2,3,syddanmark,0,280,1450
272,2020,47,p2,4,copenhagen,0,667,3866
272,2020,47,p2,5,sjaelland,0,154,927
272,2020,47,p2,6,whole_denmark,0,1691,8422
272,2020,47,se484k,0,other,0,9,
272,2020,47,se484k,1,nordjylland,0,247,357
272,2020,47,se484k,2,midtjylland,0,334,1719
272,2020,47,se484k,3,syddanmark,0,278,1450
272,2020,47,se484k,4,copenhagen,0,672,3866
272,2020,47,se484k,5,sjaelland,0,154,927
272,2020,47,se484k,6,whole_denmark,0,1694,8422
272,2020,47,sl452r,0,other,0,9,
272,2020,47,sl452r,1,nordjylland,0,247,357
272,2020,47,sl452r,2,midtjylland,0,334,1719
272,2020,47,sl452r,3,syddanmark,0,278,1450
272,2020,47,sl452r,4,copenhagen,0,672,3866
